Column,Data_Type,Non_Null_Count,Null_Count,Null_Percentage,Unique_Values
id,int64,34359,0,0.0,34359
name,object,34359,0,0.0,33882
host_id,int64,34359,0,0.0,27736
host_name,object,34359,0,0.0,9303
neighbourhood_group,object,34359,0,0.0,5
neighbourhood,object,34359,0,0.0,218
latitude,float64,34359,0,0.0,16559
longitude,float64,34359,0,0.0,13204
room_type,object,34359,0,0.0,3
price,int64,34359,0,0.0,551
minimum_nights,int64,34359,0,0.0,8
number_of_reviews,int64,34359,0,0.0,391
last_review,datetime64[ns],34359,0,0.0,1706
reviews_per_month,float64,34359,0,0.0,937
calculated_host_listings_count,int64,34359,0,0.0,27
availability_365,int64,34359,0,0.0,366
price_per_minimum_night,float64,34359,0,0.0,1432
review_rate_per_month,float64,34359,0,0.0,10495
is_expensive,bool,34359,0,0.0,2
